r,k_95,k_99
19,22,26
5,7,57
14,16,28
17,21,23
12,15,23
20,23,28
23,25,30
14,18,25
6,8,40
7,8,32
23,28,32
16,19,22
6,7,47
6,8,44
18,21,25
25,29,35
9,11,37
24,26,32
25,28,33
23,28,32
19,23,26
6,8,47
8,9,32
11,14,40
5,7,26
21,23,29
24,28,33
5,11,81
12,15,28
6,8,40
14,16,19
7,8,54
22,26,30
7,9,61
23,28,32
6,8,44
17,19,23
23,28,30
19,23,26
21,26,29
10,14,39
25,30,35
9,11,49
24,29,33
5,7,70
22,26,30
7,9,58
10,12,23
19,22,26
5,7,71
7,9,61
24,29,33
16,19,22
24,28,33
25,29,35
13,15,26
17,21,23
11,14,39
25,29,33
13,15,18
20,23,28
21,26,29
13,16,18
13,16,18
19,22,26
18,22,25
9,11,46
9,11,42
5,5,50
12,15,18
7,8,60
8,9,50
7,9,75
12,14,23
21,26,29
10,14,33
11,12,15
18,22,25
24,29,33
23,28,30
12,15,23
14,16,21
9,12,57
21,21,28
19,21,26
21,25,29
24,28,32
15,18,22
5,7,70
7,9,37
8,11,49
7,9,57
23,28,32
20,22,28
19,23,26
11,14,15
22,26,30
5,7,46
25,28,35
14,16,19
23,28,32
19,21,26
18,23,25
18,22,25
25,30,35
17,21,23
24,29,33
7,9,56
9,11,39
20,25,28
24,28,33
9,12,28
8,11,60
21,25,29
6,8,47
23,26,32
19,25,26
8,9,36
7,9,43
24,29,33
9,11,14
22,28,30
23,26,32
17,21,23
23,29,32
23,25,32
23,28,32
13,16,30
23,28,30
24,28,32
10,12,43
11,11,21
20,22,28
11,12,21
15,18,21
24,28,32
13,15,21
12,14,16
9,9,22
13,15,18
5,7,58
20,22,28
12,15,40
20,23,28
6,8,60
6,8,62
17,21,23
8,9,22
21,25,29
9,11,29
15,18,21
10,11,39
8,11,50
12,14,16
25,29,33
11,14,23
14,16,21
9,12,30
15,18,21
5,7,68
6,8,65
20,22,28
11,14,44
10,12,44
10,14,14
20,23,28
18,19,25
5,7,43
13,16,18
17,19,23
8,11,29
22,28,30
15,19,21
11,14,19
20,23,28
14,18,19
20,23,28
14,18,19
16,18,22
22,25,30
10,11,32
15,18,21
5,7,58
14,18,19
6,8,42
5,7,70
19,19,25
5,7,56
10,14,43
10,12,16
12,15,46
24,26,32
10,12,22
12,15,26
18,22,25
25,30,35
19,23,26
19,21,26
5,7,75
16,18,26
10,12,15
18,22,25
11,14,40
19,23,26
7,9,58
12,14,16
20,23,28
5,7,42
19,22,26
24,29,33
22,25,30
18,22,25
5,5,56
19,22,26
8,8,11
9,12,35
5,16,84
16,19,22
5,7,53
17,19,23
8,9,35
24,29,33
15,18,21
11,14,15
11,14,36
20,23,28
6,7,37
12,15,16
18,22,25
12,15,16
19,22,26
22,26,30
21,25,29
20,23,28
16,19,22
13,16,18
15,18,21
22,23,29
18,22,25
11,14,30
10,11,30
14,18,23
9,11,51
24,30,33
20,23,28
5,7,54
17,19,23
12,15,29
12,15,23
19,21,26
25,26,33
9,12,51
17,21,23
22,25,30
13,15,18
21,26,29
18,21,25
12,14,32
17,18,23
13,15,18
11,14,19
11,14,36
11,14,15
19,23,26
10,12,47
10,12,14
21,25,28
15,18,26
12,15,30
23,26,32
6,8,57
8,11,47
6,8,65
14,18,19
22,25,30
14,16,19
6,7,37
11,12,15
15,18,21
17,22,23
13,16,18
22,26,30
14,16,19
24,29,32
7,8,33
9,12,58
10,12,49
15,19,36
15,18,21
17,21,23
22,25,30
23,28,32
16,19,22
21,25,29
14,18,44
8,11,43
17,21,23
10,12,50
20,22,28
12,15,29
19,22,26
23,28,32
18,21,25
18,22,25
12,15,23
15,18,21
16,19,22
11,14,32
17,19,23
24,29,33
25,30,35
8,9,36
12,15,33
10,12,39
6,8,54
8,9,33
16,21,22
12,16,21
5,7,54
16,19,22
7,9,54
23,28,32
22,26,30
25,29,33
23,26,30
12,12,16
12,16,16
20,22,28
19,22,26
8,9,11
17,21,23
19,22,26
21,26,29
17,19,23
7,9,43
22,25,30
12,14,16
16,19,22
15,18,21
16,18,22
5,11,79
20,22,28
17,21,23
5,7,64
14,18,19
11,14,15
15,19,21
5,7,61
18,22,25
20,23,26
7,8,36
14,16,19
6,7,46
25,30,35
6,8,39
19,22,26
10,12,14
5,7,62
20,25,28
15,16,21
14,15,19
7,8,39
13,16,18
12,15,22
15,18,21
25,28,35
11,12,15
